"","age","mx","qx","lx","dx","Lx","Tx"
"1",0,0.011421011,0.01130481,100000,1130.480951,98982.56714,7931356.382
"2",1,0.000476663,0.001904473,98869.51905,188.2943132,395026.1698,7832373.815
"3",5,0.000219113,0.001094963,98681.22474,108.0522941,493135.9929,7437347.645
"4",10,0.000277938,0.001388723,98573.17244,136.8908644,492523.635,6944211.652
"5",15,0.000879912,0.004389904,98436.28158,432.1258693,491101.0932,6451688.017
"6",20,0.001238626,0.006174013,98004.15571,605.0789417,488508.0812,5960586.924
"7",25,0.001202814,0.005996041,97399.07677,584.0088636,485535.3617,5472078.843
"8",30,0.001313255,0.006544787,96815.0679,633.6340083,482491.2545,4986543.481
"9",35,0.001369367,0.006823476,96181.43389,656.2917465,479266.4401,4504052.226
"10",40,0.001636712,0.008150211,95525.14215,778.5500729,475679.3356,4024785.786
"11",45,0.002116144,0.010525039,94746.59207,997.2115371,471239.9315,3549106.451
"12",50,0.003077367,0.015269361,93749.38054,1431.49313,465168.1699,3077866.519
"13",55,0.005038384,0.024878549,92317.88741,2296.735112,455847.5993,2612698.349
"14",60,0.007696626,0.037756631,90021.1523,3398.895456,441608.5228,2156850.75
"15",65,0.011477605,0.055787264,86622.25684,4832.418675,421030.2375,1715242.227
"16",70,0.019774603,0.094215338,81789.83816,7705.857274,389684.5476,1294211.99
"17",75,0.036389065,0.166773498,74083.98089,12355.24464,339531.7929,904527.4421
"18",80,0.058189266,0.253996634,61728.73625,15678.89125,269446.4531,564995.6493
"19",85,0.13535387,1,46049.845,46049.845,295549.1961,295549.1961
