index,p_die
0,0.011356002
1,0.000480922
2,0.00033497
3,0.000270402
4,0.00023298
5,0.000210125
6,0.000199389
7,0.000202208
8,0.000221035
9,0.000257588
10,0.00031199
11,0.000382644
12,0.000466559
13,0.000559891
14,0.000658481
15,0.000758313
16,0.000855822
17,0.000948083
18,0.001032881
19,0.001108709
20,0.001174706
21,0.001230573
22,0.001276472
23,0.001312929
24,0.001340743
25,0.001360907
26,0.001374541
27,0.001382842
28,0.001387041
29,0.001388373
30,0.001388064
31,0.001387311
32,0.001387283
33,0.001389117
34,0.001393928
35,0.001402807
36,0.001416843
37,0.001437124
38,0.001464758
39,0.001500886
40,0.001546697
41,0.001603446
42,0.001672475
43,0.001755229
44,0.001853278
45,0.001968341
46,0.00210231
47,0.002257271
48,0.002435541
49,0.002639688
50,0.002872572
51,0.003137377
52,0.003437649
53,0.003777345
54,0.004160869
55,0.004593134
56,0.005079611
57,0.005626391
58,0.00624025
59,0.006928722
60,0.007700174
61,0.00856389
62,0.009530159
63,0.010610365
64,0.011817092
65,0.013164221
66,0.014667038
67,0.016342341
68,0.018208547
69,0.020285792
70,0.022596029
71,0.02516311
72,0.028012854
73,0.031173083
74,0.034673635
75,0.038546325
76,0.042824856
77,0.047544664
78,0.052742677
79,0.058456983
80,0.064726382
81,0.071589813
82,0.079085644
83,0.087250812
84,0.096119808
85,0.105723518
86,0.11608792
87,0.12723268
88,0.139169666
89,0.15190146
90,0.165419918
91,0.179704878
92,0.194723105
93,0.210427582
94,0.226757239
95,0.243637203
96,0.260979632
97,0.278685157
98,0.296644902
99,0.314743025
100,0.332859664
101,0.350874122
102,0.368668136
103,0.386129015
104,0.403152488
105,0.419645097
106,0.435526036
107,0.450728361
108,0.46519957
109,0.478901584
110,0.491810205
